,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
79,-0.34,03/25/18,0.156,0.844,0.0,CBSNews,Former Deputy FBI Director Andrew McCabe speaks out in op-ed after firing: https://t.co/qEOrJeSm96 https://t.co/4FJ0rOcHSf
80,-0.7351,03/25/18,0.383,0.617,0.0,CBSNews,"Parents accused of shackling, torturing their children appear in court https://t.co/cpC4pHg0Hf https://t.co/SkMxhkBmP2"
81,-0.296,03/25/18,0.196,0.804,0.0,CBSNews,"Austin bombing suspect called himself a ""psychopath,"" congressman says https://t.co/0HLngzIPHy https://t.co/KOg1Tfh3HY"
82,0.0,03/25/18,0.0,1.0,0.0,CBSNews,.@60Minutes'  interview with Stormy Daniels will be broadcast Sunday. The adult-film star and director describes th… https://t.co/YarMPbBQLe
83,-0.6808,03/25/18,0.412,0.588,0.0,CBSNews,Neighborhood policing program builds relationships to cut crime https://t.co/jiXzY76bV5 https://t.co/HH3dtLI4j7
84,-0.5574,03/25/18,0.205,0.795,0.0,CBSNews,"St. Joseph’s student Mark Dombroski died in apparent fall in Bermuda, pathologist says https://t.co/8b9utK9ln2 https://t.co/6EXT1MDkP0"
85,-0.6597,03/25/18,0.31,0.69,0.0,CBSNews,How a failing Atlanta school cut its student turnover rate by nearly half https://t.co/eI8vnaZKDf https://t.co/OhXTOSpM3x
86,-0.7906,03/25/18,0.438,0.562,0.0,CBSNews,Lawyers for Marine call serviceman’s stabbing death an accident https://t.co/UtIbgyEmgO https://t.co/hrWLAT6ACx
87,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Women across the country are running for political office at all levels, to take control of their political destini… https://t.co/DgvebeEEZP"
88,-0.6597,03/25/18,0.286,0.714,0.0,CBSNews,Man convicted in killing of Muslim cleric and his assistant https://t.co/8140qgIyCD https://t.co/3TUhHTNg4E
89,-0.8074,03/25/18,0.454,0.546,0.0,CBSNews,"5 injured in balcony collapse in downtown Los Angeles, fire department says https://t.co/N1q6jCKCT0 https://t.co/nQj4eiWLaa"
90,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Peru takes ex-president's passport amid corruption probe https://t.co/1NDGdmt13E https://t.co/WlbLrFCPPf
91,0.0772,03/25/18,0.0,0.902,0.098,CBSNews,"""I want receipts"": Cardi B goes viral asking about her tax dollars https://t.co/GynjQMn1U5 https://t.co/7gXifLZjRg"
92,-0.296,03/25/18,0.216,0.784,0.0,CBSNews,NYPD shoots knife-wielding suspect at Whole Foods https://t.co/UzmLauP0JR https://t.co/5j2CkYwJ4Q
93,-0.8074,03/25/18,0.399,0.601,0.0,CBSNews,A theoretical trade war with China could hurt these U.S. businesses most https://t.co/LcwExQKZk3 https://t.co/WrbqzYoyg1
94,-0.4939,03/25/18,0.225,0.775,0.0,CBSNews,"""39 Days"": How Parkland shooting survivors turned grief into action https://t.co/W5JFW0rnWz https://t.co/Ve54ocBp0S"
95,0.3818,03/25/18,0.177,0.488,0.335,CBSNews,Can Facebook restore public trust after Cambridge Analytica scandal? https://t.co/tMvVtqjR6x https://t.co/E1dgOyZkh0
96,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"LOOK: Crowds gather on Pennsylvania Avenue for Saturday's #MarchForOurLives event in Washington, D.C.… https://t.co/ThNlwMcNL9"
97,0.0,03/25/18,0.0,1.0,0.0,CBSNews,WATCH: @CBSNews followed a group of #Parkland teenagers who formed the #NeverAgain movement after a former student… https://t.co/L4m8FdpFro
98,-0.7003,03/25/18,0.392,0.608,0.0,CBSNews,Protests in Sacramento over unarmed man's death grow unruly https://t.co/VGrTX3Ztz9 https://t.co/XonlWOdCgN
99,-0.2263,03/25/18,0.128,0.872,0.0,CBSNews,Sheriff defiant amid claims he turned jail into his personal piggy bank https://t.co/hq78B4qCXH https://t.co/DHqc0x8el0
100,0.0,03/25/18,0.0,1.0,0.0,CNN,Orange snow blankets parts of Russia https://t.co/EXDdbGDbSx https://t.co/pwOhPn6xKD
101,-0.6369,03/25/18,0.366,0.634,0.0,CNN,Australia cricket captain Steve Smith resigns over ball-tampering scandal https://t.co/9X1PKDFlne https://t.co/HsjRwLpC1Z
